"O1";"O2";"O3";"O4"
-0,0904122198115795;-0,0414555819840208;-0,32242948949246;0,0713304472725485
0,253611812083843;0,170760869378791;0,0643336371996438;0,072222620866007
0,274089453350699;0,157527877251484;0,448765992078906;-0,286402428490938
-0,335648970415938;-0,142283486252194;0,104291074543513;0,350455852957121
0,205694124089097;0,138948061077509;-0,152787984482074;0,0136322505394889
0,0437225994888004;-0,236930221153144;-0,25592673255515;0,240006103412726
0,0885534040483072;-0,156193648007793;-0,0720141116232245;-0,947535931508127
-0,208378127887568;-0,056120228098102;0,0350351406397219;-0,00769406347033326
-0,25635427696343;-0,544502734737054;-0,410541849208323;-0,353460384240188
-0,186551020665295;0,106289267560627;0,197395387408739;0,000409801971756838
0,0155904076305477;0,0149948935105223;-0,0835643150792121;0,0208338136418662
0,0244661168032521;-0,0785671354501714;-0,0571833903332411;-0,505122438640648
-0,0580923222012459;0,126036069680272;0,338080545592125;0,0674166261690569
0,222529950488112;0,0701585606961084;0,423582598972506;-0,0502958211789573
-0,00780598378990709;-0,28230303130698;-0,478966052678225;-0,408076916666246
0,150381143396224;0,224886293058306;0,306675342707673;-0,0644823052584635
0,236378170763097;0,214991312239436;0,0250364416713357;0,148864366752679
0,0696855672082767;-0,00454687709863602;0,107678454357385;0,10770252803452
0,076733409573239;-0,104378841326234;0,382638859644155;0,384573668612888
-0,0832188831020962;-0,122310524884619;0,677440408399039;0,446109901352528
0,546012841338593;0,589384772965527;0,891709864274387;0,337235968300387
0,0914600172985954;-0,0715499775938411;0,0183578982432118;-0,133394726634984
-0,0993395241893437;0,128262385701096;0,284147600158903;-0,165774372732234
0,160812447165998;0,381663319251124;-0,210613935738769;-0,0532339156262217
0,416883563900376;0,397549514918446;0,503451987288023;0,393999957957855
-0,104386653939772;0,0293733200293939;-0,242170543282344;0,0572778158989325
-0,297826620518279;0,155391800843863;0,238180366726027;0,363165535959826
-0,134903418971752;-0,0134535091960433;0,049565867524366;-0,157212691507006
0,230413617390334;0,249654334051521;0,704429249724348;0,716599527417078
-0,26949126536243;-0,103548755768877;-0,421084153379265;-0,419256986245785
-0,39431016646921;-0,651746451109324;-0,175239124273923;-0,888359693864288
-0,154032376961098;-0,0791073804174426;-0,631295819167938;-0,459238541875387
-0,0838726132442233;0,421651521396237;0,345198187579268;0,104956410359424
0,0330754577176794;-0,178355333481523;0,26908162071489;-0,178680170785116
-0,235087807944705;-0,0466780028375974;-0,609054753054427;-0,505461332495038
-0,254985930501171;-0,216863490529064;-0,331018753112363;0,296810205135968
-0,530670985328679;-0,0240092575810821;-0,474878011580253;0,127860542325689
0,0522778195635576;0,104820890673484;0,153265417621717;-0,22136439456796
0,177395536044571;0,120441115514052;0,0982630655321859;0,639074890334768
-0,5269494002332;-0,0604356170574563;-0,426678973025362;-0,356807112940697
0,305614749495605;0,113701154335549;-0,481948240251941;-0,513709872080558
-0,323853442860278;-0,3552364639455;-0,899161517641354;-0,488047546834619
-0,170225984010462;-0,0302135415174577;0,208720581892991;-0,408573881412248
-0,360399556248434;-0,164602479574958;-0,0382103856282558;-0,612417628026631
0,192518043402168;0,371878296892532;-0,0230614510331398;-0,0794559868831981
0,104187809667224;0,337186021519423;-0,0266179300528791;0,181461545800229
-0,452522331620126;-0,380258455928341;-0,467795166994072;-0,801856970288598
-0,188439103246322;0,224501887571741;0,340540147852741;0,0645098788835926
-0,207537998506942;-0,671527570752527;-0,248091598144239;-0,909612584697827
-0,333823312020766;-0,133522735109644;-0,219724830727859;-0,143201323250276
0,112628123941347;0,0361647619728807;0,206861815513059;0,116997001585498
0,295584958912691;0,0263418527170554;-0,138427866707793;-0,352034656049787
0,436075569898339;0,452599938014753;-0,123377470531788;0,265387414335736
0,0239508772167822;0,00841269466298863;-0,57397034365501;-0,43901233557251
0,676537444784231;0,282595342212;0,585531265832667;0,898069937110066
